,user_rating,review_text,sentiment,review_text_cleaned,tokens,freqdist
71,5,"Close to the subway, clean, spacious",positive,close subway clean spacious,"['close', 'subway', 'clean', 'spacious']",<FreqDist with 4 samples and 4 outcomes>
73,2,Terrible service and rude employees. only went there because no other firm was open close to me on a Saturday morning. Definitely not recommend.,negative,terrible service rude went firm open close morning definitely not recommend,"['terrible', 'service', 'rude', 'went', 'firm', 'open', 'close', 'morning', 'definitely', 'not', 'recommend']",<FreqDist with 11 samples and 11 outcomes>
74,2,Ml. Cvx,negative,,[],<FreqDist with 0 samples and 0 outcomes>
76,5,Excellent the best travel agency in Aigaleo  city,positive,excellent best travel agency city,"['excellent', 'best', 'travel', 'agency', 'city']",<FreqDist with 5 samples and 5 outcomes>
92,1,Beautiful,negative,beautiful,['beautiful'],<FreqDist with 1 samples and 1 outcomes>
95,1,I was expecting an electronics store :(,negative,electronics store,"['electronics', 'store']",<FreqDist with 2 samples and 2 outcomes>
96,5,"The location is very convenient with easy access, private parking and discreet entrance.

The service is generally good. We were a little bummed that we had to order from outside - due to the kitchen being closed due to renovations - but ok.

The prices are good for the category and its facilities.

The experience room we got was very good. Big, neat, good sound insulation, offered for comfortable play.

Overall, it is a very well cared for situation that is worth the effort and money to experience.",positive,location convenient easy access private parking discreet entrance service generally good little bummed order outside due kitchen closed due good category experience room got good big neat good sound insulation comfortable play overall well situation worth effort money experience,"['location', 'convenient', 'easy', 'access', 'private', 'parking', 'discreet', 'entrance', 'service', 'generally', 'good', 'little', 'bummed', 'order', 'outside', 'due', 'kitchen', 'closed', 'due', 'good', 'category', 'experience', 'room', 'got', 'good', 'big', 'neat', 'good', 'sound', 'insulation', 'comfortable', 'play', 'overall', 'well', 'situation', 'worth', 'effort', 'money', 'experience']",<FreqDist with 34 samples and 39 outcomes>
98,1,"Amateurism at its best, after contacting them by phone because no one responded to the e-mail contact, we proceeded to reserve a room after 8 hours they called me to tell me that the reservation is not valid because the room has been reserved for a week .... Your conclusions !!",negative,amateurism best phone one contact reserve room tell reservation not valid room reserved week,"['amateurism', 'best', 'phone', 'one', 'contact', 'reserve', 'room', 'tell', 'reservation', 'not', 'valid', 'room', 'reserved', 'week']",<FreqDist with 13 samples and 14 outcomes>
105,1,"Had to deal with bed bugs instead of enjoying my vacation, the hotel might look clean from the outside but  for the bed bugs, I had to buy spray and cream from the pharmacy and I couldn't sleep because my body was itching the whole night despite the uncomfortable pillow and mattress.
Also, locker, towels and laundry is not for free
I had to spend extra money to clean my ""clean"" clothes because of the bugs
And on pharmacy
Worst experience and I can't wait to check out and never come back.",negative,deal bed instead enjoying vacation hotel might look clean outside bed buy spray cream pharmacy could sleep body itching whole night despite uncomfortable pillow mattress also locker laundry not free spend extra money clean clean clothes pharmacy worst experience ca wait check never come back,"['deal', 'bed', 'instead', 'enjoying', 'vacation', 'hotel', 'might', 'look', 'clean', 'outside', 'bed', 'buy', 'spray', 'cream', 'pharmacy', 'could', 'sleep', 'body', 'itching', 'whole', 'night', 'despite', 'uncomfortable', 'pillow', 'mattress', 'also', 'locker', 'laundry', 'not', 'free', 'spend', 'extra', 'money', 'clean', 'clean', 'clothes', 'pharmacy', 'worst', 'experience', 'ca', 'wait', 'check', 'never', 'come', 'back']",<FreqDist with 41 samples and 45 outcomes>
112,1,"Be careful, this place is a trap. I am pretty much sure those who wrote good reviews for this place are either friends with the owner or are employees faking accounts. No need to write much but enough to know that:
1- rooms are not as in the photos.
2- price is too high, considering this could not fit in any category of a comfortable place in booking.
3- the location is industrial, surrounded by mechanical areas and the place itself is noisy.
4- an employee asked me impolitly not to write this review and he will bring the owner number who is in Dubai. As expected, the employee disappeared.
5- finally, the place fits for a solo traveler spending an overnight willing to pay no more than 30 euros max.

I am not used to harsh criticism, but this place deserves an exception. Just bad!!",negative,careful place trap pretty much sure wrote good place either owner need write much enough know not price high considering could not fit category comfortable place booking location industrial surrounded mechanical place noisy employee not write review bring owner number employee finally place solo traveler spending overnight willing pay not used harsh criticism place exception bad,"['careful', 'place', 'trap', 'pretty', 'much', 'sure', 'wrote', 'good', 'place', 'either', 'owner', 'need', 'write', 'much', 'enough', 'know', 'not', 'price', 'high', 'considering', 'could', 'not', 'fit', 'category', 'comfortable', 'place', 'booking', 'location', 'industrial', 'surrounded', 'mechanical', 'place', 'noisy', 'employee', 'not', 'write', 'review', 'bring', 'owner', 'number', 'employee', 'finally', 'place', 'solo', 'traveler', 'spending', 'overnight', 'willing', 'pay', 'not', 'used', 'harsh', 'criticism', 'place', 'exception', 'bad']",<FreqDist with 44 samples and 56 outcomes>
113,2,"Tale care with the pictures, this place feels like a work in progress, ill start with the positive: beds are comfy as are the pillows. They did let us do a late check in.

The rooms are very small, and the double bed is a little over a single - not great if travelling in a couple.

We had to request a room change after checking in as our room had no natural light or air flow, the bathroom door had just been painted and the fumes could still be smelt. No curtain on the shower either.

After changing to a room with a small window it was still very tight but bearable.

The area is close to the car mechanics but near the metro to get into the centre.
For a similar price I would recommend getting a flat instead",negative,tale care place like work progress ill start positive comfy let u late check small double bed little single not great couple request room change room natural light air flow bathroom door painted could still smelt curtain shower either room small window still tight bearable area close car mechanic near get similar price would recommend getting flat instead,"['tale', 'care', 'place', 'like', 'work', 'progress', 'ill', 'start', 'positive', 'comfy', 'let', 'u', 'late', 'check', 'small', 'double', 'bed', 'little', 'single', 'not', 'great', 'couple', 'request', 'room', 'change', 'room', 'natural', 'light', 'air', 'flow', 'bathroom', 'door', 'painted', 'could', 'still', 'smelt', 'curtain', 'shower', 'either', 'room', 'small', 'window', 'still', 'tight', 'bearable', 'area', 'close', 'car', 'mechanic', 'near', 'get', 'similar', 'price', 'would', 'recommend', 'getting', 'flat', 'instead']",<FreqDist with 54 samples and 58 outcomes>
114,1,"We stayed here for one night. The girl at reception desk was nice but unfortunatley our room couldnt be open cuz the lock didnt work. When we came back a bit later a guy a the reception desk who replaced the aboce mentioned female receptionist was very unfriendly and not the kindest. He wanted to get rid of us asap. When we came in the room we were shocked. We booked bedroom 2 people but this was hardly for one. The bed wasnt big enough for 2 adults, there was no space to leave our suitcases since the spaces between the wall and the bed were only for one person to pass through. We literally had to stretch around like spiders to get to the bathroom. In the bathroom...well...there was no warm water so we had to shower with ice cold one and let me just say we came from a ferry and bus trip and we were exhausted and couldnt wait to have a nice shower. Well that didnt happen. Also the pictures on site dont show that some of the rooms dont even have windows which ofc ours didnt have. All in all it was not worth the price. It felt claustrophobic, too small and hardly even for one person not two. It was  clean and new though but i would never go back.",negative,stayed one night girl reception desk nice room open lock didnt work came back bit later guy reception desk female receptionist unfriendly not get rid u came room booked bedroom people hardly one bed wasnt big enough space leave since wall bed one person pas literally stretch around like get bathroom bathroom well warm water shower ice cold one let say came ferry bus trip exhausted wait nice shower well didnt happen also site dont show dont even didnt not worth price felt small hardly even one person not two clean new though would never go back,"['stayed', 'one', 'night', 'girl', 'reception', 'desk', 'nice', 'room', 'open', 'lock', 'didnt', 'work', 'came', 'back', 'bit', 'later', 'guy', 'reception', 'desk', 'female', 'receptionist', 'unfriendly', 'not', 'get', 'rid', 'u', 'came', 'room', 'booked', 'bedroom', 'people', 'hardly', 'one', 'bed', 'wasnt', 'big', 'enough', 'space', 'leave', 'since', 'wall', 'bed', 'one', 'person', 'pas', 'literally', 'stretch', 'around', 'like', 'get', 'bathroom', 'bathroom', 'well', 'warm', 'water', 'shower', 'ice', 'cold', 'one', 'let', 'say', 'came', 'ferry', 'bus', 'trip', 'exhausted', 'wait', 'nice', 'shower', 'well', 'didnt', 'happen', 'also', 'site', 'dont', 'show', 'dont', 'even', 'didnt', 'not', 'worth', 'price', 'felt', 'small', 'hardly', 'even', 'one', 'person', 'not', 'two', 'clean', 'new', 'though', 'would', 'never', 'go', 'back']",<FreqDist with 73 samples and 97 outcomes>
117,5,"Best place ever. Very beautiful apartament,very clean,everything you need,and the best host ! Close to everything. We will come back here 100%.",positive,best place ever beautiful clean everything need best host close everything come back,"['best', 'place', 'ever', 'beautiful', 'clean', 'everything', 'need', 'best', 'host', 'close', 'everything', 'come', 'back']",<FreqDist with 11 samples and 13 outcomes>
134,5,"Lovely apartments - couldn’t fault our stay at all. Very secure and clean apartments with downstairs gym, we also opted for the room with the garden hot tub. No front desk but was super simple to access property upon arrival. Property manager was very helpful and quick to respond to any questions we had within minutes.

Also a great location - only a short walk to the acropolis & Plaka area or 20 min drive to the beach. Would highly reccomend if you’re staying in the city centre of Athens 🇬🇷",positive,lovely fault stay secure clean downstairs gym also room garden hot tub front desk super simple access property upon arrival property manager helpful quick respond within also great location short walk acropolis area min drive beach would highly city,"['lovely', 'fault', 'stay', 'secure', 'clean', 'downstairs', 'gym', 'also', 'room', 'garden', 'hot', 'tub', 'front', 'desk', 'super', 'simple', 'access', 'property', 'upon', 'arrival', 'property', 'manager', 'helpful', 'quick', 'respond', 'within', 'also', 'great', 'location', 'short', 'walk', 'acropolis', 'area', 'min', 'drive', 'beach', 'would', 'highly', 'city']",<FreqDist with 37 samples and 39 outcomes>
138,5,"Everything was just great. The apartment was very comfortable, big, clean and near to the metro.
The apartment was fully equipped with everything you need for a short or even longer stay.
There is a grocery shop around the corner and also some restaurants.
Hosts were very friendly and helpful.",positive,everything great apartment comfortable big clean near apartment fully everything need short even longer stay grocery shop around corner also friendly helpful,"['everything', 'great', 'apartment', 'comfortable', 'big', 'clean', 'near', 'apartment', 'fully', 'everything', 'need', 'short', 'even', 'longer', 'stay', 'grocery', 'shop', 'around', 'corner', 'also', 'friendly', 'helpful']",<FreqDist with 20 samples and 22 outcomes>
140,1,"This hotel would not even deserve 1 star, because our stay was catastrophic. We had booked in March, a little more than 2 months in advance, to be sure that we would have a room available. When we arrive at our room, we quickly realize that there are several problems in it; Out of the 4 lights in the room, 3 of them didn't work, the light in the bathroom illuminates so little that we had to take our shower with the curtain open, and even then, the light was extremely low. Our air conditioning didn't seem to work, our toilet was clogged without us even using it, we only had one electrical outlet for the whole room and our great view of the city (as mentioned in the booking), was actually a view of the other rooms, inside the hotel. When we expressed our dissatisfaction to the employees at the reception (it didn't look like the description of the room we had booked at all), we were lent a power strip and assured that they would try to find a solution + that they would contact us. For the air conditionner, they did lend us a remote for it, labelled ''Room 612''. It wasn't our room. BUT they did told us that they were overbooked. (It doesn't make any sens as they lend  us something from an other room) The next morning, still no news, we went to the reception for a follow up (our toilet was still clogged, almost a day after our arrival). We told them our dissatisfaction (again) and that we wanted to know what was going on with their ""research"". The rude gentleman at the reception started by telling us that the view from the room is not automatically on the Acropolis and that there is the city all around the hotel, so that it was not a problem (the problem is that we see the inside of the hotel) He completely denied that it was mentioned ""city view"" in the room reservation and did not believe us,  despite being shown the booking page. After a heated exchange, this man told us that it was NORMAL to have a room like this, because we had booked it on a third party site, so 50% cheaper! He also said that the hotel is a ""TripAdvisor Recommendation"" and that it is a 4-star hotel (clearly he doesn't care about reviews). I can't believe that an employee could talk to his customers like that and have such a condescending tone.
*Breakfast wasn't that good, when there are leftovers, they keep them and reheat them the next day (the omelettes and pastries were hard)*
We will never go back to this hotel again and we do not recommend it to anyone.",negative,hotel would not even deserve star stay catastrophic booked march little advance sure would room available arrive room quickly realize several room work light bathroom little take shower curtain open even light extremely low air seem work toilet without u even one electrical outlet whole room great view city booking actually view inside hotel expressed dissatisfaction reception look like description room booked lent power strip assured would try find solution would contact u air lend u remote room room told u make lend u something room next morning still news went reception follow toilet still almost day arrival told dissatisfaction know going research rude gentleman reception telling u view room not automatically acropolis city around hotel not problem problem see inside hotel completely city view room reservation not believe u despite shown booking page exchange man told u normal room like booked third party site also said hotel recommendation hotel clearly care ca believe employee could talk like condescending tone breakfast good keep reheat next day hard never go back hotel not recommend anyone,"['hotel', 'would', 'not', 'even', 'deserve', 'star', 'stay', 'catastrophic', 'booked', 'march', 'little', 'advance', 'sure', 'would', 'room', 'available', 'arrive', 'room', 'quickly', 'realize', 'several', 'room', 'work', 'light', 'bathroom', 'little', 'take', 'shower', 'curtain', 'open', 'even', 'light', 'extremely', 'low', 'air', 'seem', 'work', 'toilet', 'without', 'u', 'even', 'one', 'electrical', 'outlet', 'whole', 'room', 'great', 'view', 'city', 'booking', 'actually', 'view', 'inside', 'hotel', 'expressed', 'dissatisfaction', 'reception', 'look', 'like', 'description', 'room', 'booked', 'lent', 'power', 'strip', 'assured', 'would', 'try', 'find', 'solution', 'would', 'contact', 'u', 'air', 'lend', 'u', 'remote', 'room', 'room', 'told', 'u', 'make', 'lend', 'u', 'something', 'room', 'next', 'morning', 'still', 'news', 'went', 'reception', 'follow', 'toilet', 'still', 'almost', 'day', 'arrival', 'told', 'dissatisfaction', 'know', 'going', 'research', 'rude', 'gentleman', 'reception', 'telling', 'u', 'view', 'room', 'not', 'automatically', 'acropolis', 'city', 'around', 'hotel', 'not', 'problem', 'problem', 'see', 'inside', 'hotel', 'completely', 'city', 'view', 'room', 'reservation', 'not', 'believe', 'u', 'despite', 'shown', 'booking', 'page', 'exchange', 'man', 'told', 'u', 'normal', 'room', 'like', 'booked', 'third', 'party', 'site', 'also', 'said', 'hotel', 'recommendation', 'hotel', 'clearly', 'care', 'ca', 'believe', 'employee', 'could', 'talk', 'like', 'condescending', 'tone', 'breakfast', 'good', 'keep', 'reheat', 'next', 'day', 'hard', 'never', 'go', 'back', 'hotel', 'not', 'recommend', 'anyone']",<FreqDist with 115 samples and 174 outcomes>
141,2,"I would not stay there again.
Elevator / lift  only starts from first floor, after about 18 stairs !! Good luck if you have luggage.
Old property, need a major update.  AC is pretty weak in ALL rooms. Rooms are old, at times smelly  and not well kept at all.  Not a 4 star hotel at all. May be a 2 star level ?",negative,would not stay elevator lift first floor good luck luggage old property need major update pretty weak old time smelly not well kept not star hotel may star level,"['would', 'not', 'stay', 'elevator', 'lift', 'first', 'floor', 'good', 'luck', 'luggage', 'old', 'property', 'need', 'major', 'update', 'pretty', 'weak', 'old', 'time', 'smelly', 'not', 'well', 'kept', 'not', 'star', 'hotel', 'may', 'star', 'level']",<FreqDist with 25 samples and 29 outcomes>
143,4,"It is a hotel that does not have many advantages except that it is centrally located and has transportation advantages.

The breakfast is not bad, at least there are a few varieties.
The rooms are a bit old and need to be renovated, but the cleanliness is sufficient.
It is suitable for one or two day stays.",positive,hotel not many except centrally transportation breakfast not bad least bit old need cleanliness sufficient suitable one two day stay,"['hotel', 'not', 'many', 'except', 'centrally', 'transportation', 'breakfast', 'not', 'bad', 'least', 'bit', 'old', 'need', 'cleanliness', 'sufficient', 'suitable', 'one', 'two', 'day', 'stay']",<FreqDist with 19 samples and 20 outcomes>
152,5,"We stayed at the beginning of May for 3 nights. Very good impressions, ideal for couples but also spacious for families. Very clean and the owner very kind and hospitable.
Easy parking outside the apartment building. Access to the center is very easy with the electric car.
I highly recommend it!",positive,stayed beginning may night good ideal also spacious clean owner kind hospitable easy parking outside apartment building access center easy electric car highly recommend,"['stayed', 'beginning', 'may', 'night', 'good', 'ideal', 'also', 'spacious', 'clean', 'owner', 'kind', 'hospitable', 'easy', 'parking', 'outside', 'apartment', 'building', 'access', 'center', 'easy', 'electric', 'car', 'highly', 'recommend']",<FreqDist with 23 samples and 24 outcomes>
155,5,"Very clean and big apartment, very close to the underground, very friendly landlord. Quiet area, shops nearby.",positive,clean big apartment close underground friendly landlord quiet area nearby,"['clean', 'big', 'apartment', 'close', 'underground', 'friendly', 'landlord', 'quiet', 'area', 'nearby']",<FreqDist with 10 samples and 10 outcomes>
158,5,a 5 star experience every time,positive,star experience every time,"['star', 'experience', 'every', 'time']",<FreqDist with 4 samples and 4 outcomes>
162,5,"Amazing place to stay!! Top quality and staff is amazing! Very good communication on WhatsApp.

Definitely coming back soon!! Our favourite stay in Athen!!",positive,amazing place stay top quality staff amazing good communication definitely coming back soon stay,"['amazing', 'place', 'stay', 'top', 'quality', 'staff', 'amazing', 'good', 'communication', 'definitely', 'coming', 'back', 'soon', 'stay']",<FreqDist with 12 samples and 14 outcomes>
166,2,Bad experience when we checked in on Friday evening (on a heat wave day) and found the master bedroom's Air-conditioning not working. No one was available to assist that evening and promised to have it fixed the next day. Next day I contacted them to have it repaired while we were out and came back to find the Air-conditioning still not fixed. Paying soo much to stay 2 nights without Air-conditioning!! Wouldn't recommend it if they don't know how to deal with emergency situations and resolve customer's complaints. Never again ;(,negative,bad experience checked evening heat wave day found master bedroom not working one available assist evening fixed next day next day came back find still not fixed paying much stay night without would recommend know deal emergency resolve customer never,"['bad', 'experience', 'checked', 'evening', 'heat', 'wave', 'day', 'found', 'master', 'bedroom', 'not', 'working', 'one', 'available', 'assist', 'evening', 'fixed', 'next', 'day', 'next', 'day', 'came', 'back', 'find', 'still', 'not', 'fixed', 'paying', 'much', 'stay', 'night', 'without', 'would', 'recommend', 'know', 'deal', 'emergency', 'resolve', 'customer', 'never']",<FreqDist with 34 samples and 40 outcomes>
169,5,"Whether in Greece for business or vacation, The H Experience is one of the best concepts to turn to for your stay. I’ve tried a handful of their apartments and look forward to checking out the rest. Super clean, super design, super service. I highly recommend!",positive,whether business vacation h experience one best turn stay tried handful look forward rest super clean super design super service highly recommend,"['whether', 'business', 'vacation', 'h', 'experience', 'one', 'best', 'turn', 'stay', 'tried', 'handful', 'look', 'forward', 'rest', 'super', 'clean', 'super', 'design', 'super', 'service', 'highly', 'recommend']",<FreqDist with 20 samples and 22 outcomes>
172,5,Excellent experience and great people and atmosphere. Mrs Anna Fonsou and the rest of the talented actors were so nice and very welcoming! Thank you so much!,positive,excellent experience great people atmosphere anna rest talented nice welcoming thank much,"['excellent', 'experience', 'great', 'people', 'atmosphere', 'anna', 'rest', 'talented', 'nice', 'welcoming', 'thank', 'much']",<FreqDist with 12 samples and 12 outcomes>
181,5,"Not huge, but very clean and a smooth process checking in and out. The staff is extremely responsive. Would definitely recommend 👍🏼👍🏼👍🏼",positive,not huge clean smooth process staff extremely responsive would definitely recommend,"['not', 'huge', 'clean', 'smooth', 'process', 'staff', 'extremely', 'responsive', 'would', 'definitely', 'recommend']",<FreqDist with 11 samples and 11 outcomes>
188,5,Great hospitality I would choose it again for sure!!,positive,great hospitality would choose sure,"['great', 'hospitality', 'would', 'choose', 'sure']",<FreqDist with 5 samples and 5 outcomes>
189,5,Very good!,positive,good,['good'],<FreqDist with 1 samples and 1 outcomes>
194,5,Everything is fine,positive,everything fine,"['everything', 'fine']",<FreqDist with 2 samples and 2 outcomes>
213,1,"Attention!

It is no longer operating as a hotel and they have not taken it off the google map.
Thank you very much for your understanding.",negative,attention longer operating hotel not taken map thank much understanding,"['attention', 'longer', 'operating', 'hotel', 'not', 'taken', 'map', 'thank', 'much', 'understanding']",<FreqDist with 10 samples and 10 outcomes>
215,1,"Not good
Not good",negative,not good not good,"['not', 'good', 'not', 'good']",<FreqDist with 2 samples and 4 outcomes>
216,2,"Unfortunately, there were bed bugs in the room and the living room. It caused us sleeplessness, itchiness and an unnecessary amount of stress. The apartment would have been okay without that factor. But the neighbourhood is really bad... lucky there are buses and supermarkets nearby!",negative,unfortunately bed room living room u sleeplessness itchiness unnecessary amount stress apartment would without factor really bad lucky nearby,"['unfortunately', 'bed', 'room', 'living', 'room', 'u', 'sleeplessness', 'itchiness', 'unnecessary', 'amount', 'stress', 'apartment', 'would', 'without', 'factor', 'really', 'bad', 'lucky', 'nearby']",<FreqDist with 18 samples and 19 outcomes>
222,5,Excellent service!!!highly recommend!!!keep it up!!,positive,excellent service highly recommend keep,"['excellent', 'service', 'highly', 'recommend', 'keep']",<FreqDist with 5 samples and 5 outcomes>
223,5,So beautiful apartment I like it,positive,beautiful apartment like,"['beautiful', 'apartment', 'like']",<FreqDist with 3 samples and 3 outcomes>
230,5,"Large and clean apartment. Quiet area, close to the metro and convenient to everything. Splendid view from the terrace. Everything corresponds to the photos.",positive,large clean apartment quiet area close convenient everything splendid view terrace everything,"['large', 'clean', 'apartment', 'quiet', 'area', 'close', 'convenient', 'everything', 'splendid', 'view', 'terrace', 'everything']",<FreqDist with 11 samples and 12 outcomes>
233,5,Excellent hospitality and spotlessly clean and comfortable house with all amenities.,positive,excellent hospitality spotlessly clean comfortable house,"['excellent', 'hospitality', 'spotlessly', 'clean', 'comfortable', 'house']",<FreqDist with 6 samples and 6 outcomes>
235,5,"We had a good time at the hotel! I dont know about the other rooms, but our room was modern and clean and we even had a balcony. The room service was very nice and cleaned every day. The breakfast is simple but good. We saw two different men who worked at the reception and both of them were very friendly and helped us every time we had a request :)",positive,good time hotel dont know room modern clean even balcony room service nice every day breakfast simple good saw two different men worked reception friendly u every time request,"['good', 'time', 'hotel', 'dont', 'know', 'room', 'modern', 'clean', 'even', 'balcony', 'room', 'service', 'nice', 'every', 'day', 'breakfast', 'simple', 'good', 'saw', 'two', 'different', 'men', 'worked', 'reception', 'friendly', 'u', 'every', 'time', 'request']",<FreqDist with 25 samples and 29 outcomes>
